navn,tiltradte,fratradte,grunnlag,fodt,dod,fodested,dodssted,gravsted
Frederik I,1524,1533,Sønn av Christian I,1471,1533,"Danmark, Haderslevhus","Tyskland, Slesvig, Gottorp slott","Tyskland, Slesvig, Schleswig domkirke"
Christian III,1537,1559,Sønn av Frederik I,1503,1559,"Tyskland, Slesvig, Gottorp slott","Danmark, Kolding, Koldinghus","Danmark, Roskilde domkirke"
Frederik II,1559,1588,Sønn av Christian III,1534,1588,"Danmark, Haderslevhus","Danmark, Antvorskov kloster","Danmark, Roskilde domkirke"
Christian IV,1588,1648,Sønn av Frederik II,1577,1648,"Danmark, Fredriksborg slott","Danmark, København, Rosenborg slott","Danmark, Roskilde domkirke"
Frederik III,1648,1670,Sønn av Christian IV,1609,1670,"Danmark, Haderslevhus",,"Danmark, Roskilde domkirke"
Christian V,1670,1699,Sønn av Frederik III,1646,1699,"Tyskland, Flensburg",,"Danmark, Roskilde domkirke"
Frederik IV,1699,1730,Sønn av Christian V,1671,1730,"Danmark, Københavns slott","Danmark, Odense","Danmark, Roskilde domkirke"
Christian VI,1730,1746,Sønn av Frederik IV,1699,1746,,,"Danmark, Roskilde domkirke"
Frederik V,1746,1766,Sønn av Christian VI,1723,1766,,,"Danmark, Roskilde domkirke"
Christian VII,1766,1808,Sønn av Frederik V,1749,1808,"Danmark, København","Tyskland, Rendsburg","Danmark, Roskilde domkirke"
Frederik VI,1808,1814,Sønn av Christian VII,1768,1839,"Danmark, København, Christiansborg","Danmark, København, Amalienborg","Danmark, Roskilde domkirke"
Christian Frederik,1814,1814,"Sønnesønn av Frederik V (offisielt), valgt til konge",1786,1848,"Danmark, København, Christiansborg","Danmark, København, Amalienborg","Danmark, Roskilde domkirke"
Karl II,1814,1818,"Sønn av Adolf Fredrik av Sverige, unionskonge",1748,1818,"Sverige, Stockholms slott","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Karl III Johan,1818,1844,Adoptivsønn av Karl II,1763,1844,"Frankrike, Pau","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Oscar I,1844,1859,Sønn av Karl III Johan,1799,1859,"Frankrike, Paris","Sverige, Stockholms slott","Sverige, Stockholm, Riddarholmskyrkan"
Karl IV,1859,1872,Sønn av Oscar I,1826,1872,"Sverige, Stockholms slott","Sverige, Malmö","Sverige, Stockholm, Riddarholmskyrkan"
Oscar II,1872,1905,Sønn av Oscar I,1829,1907,"Sverige, Stockholm","Sverige, Stockholm","Sverige, Stockholm, Riddarholmskyrkan"
Haakon VII,1905,1957,"Sønn av Frederik VIII av Danmark, valgt til konge",1872,1957,"Danmark, Charlottenlund slott",Oslo,"Oslo, Akershus slottskirke"
Olav V,1957,1991,Sønn av Haakon VII,1903,1991,"England, Sandringham",Oslo,"Oslo, Akershus slottskirke"
Harald V,1991,,Sønn av Olav V,1937,,"Akershus, Asker, Skaugum",,NA
